iter	Logloss
0	0.6880772182
1	0.6835277012
2	0.6786878313
3	0.6742421831
4	0.6693026951
5	0.6645236424
6	0.6602529253
7	0.6560527802
8	0.6521491459
9	0.6481137412
10	0.6443467276
11	0.6404591152
12	0.6366445269
13	0.6327739171
14	0.629132734
15	0.6267802102
16	0.6234208243
17	0.6195538112
18	0.6169450487
19	0.6133992331
20	0.6102542332
21	0.6070200239
22	0.6038483756
23	0.6009193965
24	0.5980488368
25	0.5947170803
26	0.5928230831
27	0.5899218968
28	0.5872543335
29	0.5841258458
30	0.5820153373
31	0.5791865758
32	0.5765488761
33	0.5737856184
34	0.5710963658
35	0.5687732697
36	0.565990121
37	0.5634720939
38	0.5612492153
39	0.5586134774
40	0.5565133776
41	0.5542993818
42	0.5521445138
43	0.5498783112
44	0.5476843698
45	0.545639692
46	0.5436262403
47	0.5416878836
48	0.5396105085
49	0.5375293187
50	0.5353791373
51	0.5335819244
52	0.5319641658
53	0.5299671718
54	0.5282254355
55	0.5264326913
56	0.5246606009
57	0.5230750493
58	0.5216851371
59	0.5201398032
60	0.5185887473
61	0.5176501138
62	0.5161478315
63	0.5148309435
64	0.5131780352
65	0.5116771698
66	0.5100073133
67	0.5086928231
68	0.5071587154
69	0.5062235151
70	0.5050430843
71	0.5039424351
72	0.502703258
73	0.5018143245
74	0.5006332397
75	0.4993232727
76	0.4982282911
77	0.4969991411
78	0.4962059021
79	0.4951796395
80	0.4940623692
81	0.4929582323
82	0.4919266837
83	0.4909924098
84	0.4898704529
85	0.4890086583
86	0.488028717
87	0.4872249603
88	0.4861088889
89	0.4853061131
90	0.4842020307
91	0.4833369664
92	0.4823678153
93	0.4813517434
94	0.4806190491
95	0.4797997611
96	0.4790056501
97	0.4782105037
98	0.4771863665
99	0.4764022827
100	0.4756686619
101	0.4749846322
102	0.4743629456
103	0.4735100882
104	0.4726519993
105	0.472152383
106	0.4713224139
107	0.4708841596
108	0.470211356
109	0.469682312
110	0.4688314165
111	0.4682310922
112	0.4675640106
113	0.4669846671
114	0.4664741516
115	0.4657044547
116	0.4648905618
117	0.4645389012
118	0.4639259338
119	0.4631206512
120	0.4626269749
121	0.4619915009
122	0.4614933014
123	0.46139134
124	0.4608801705
125	0.4603657859
126	0.4601744516
127	0.4594155993
128	0.4585843767
129	0.4581782205
130	0.4577171326
131	0.4574603489
132	0.4569154194
133	0.4562829699
134	0.455632128
135	0.4551776614
136	0.454687827
137	0.4545403072
138	0.4538786752
139	0.4533934184
140	0.4529282706
141	0.4525803157
142	0.4518730436
143	0.4516444887
144	0.4513198853
145	0.4509926932
146	0.4504810606
147	0.4502857753
148	0.4498678752
149	0.4493495396
150	0.4491389956
151	0.4487036841
152	0.4483313152
153	0.4479365213
154	0.4474543708
155	0.4472243718
156	0.4466946193
157	0.4464002337
158	0.4462162563
159	0.4457808631
160	0.4453603472
161	0.4451666696
162	0.4449300494
163	0.4444748197
164	0.443812779
165	0.443400819
166	0.4430240631
167	0.4425542014
168	0.442322513
169	0.4421718052
170	0.4419782094
171	0.4416631699
172	0.4413905825
173	0.4411030906
174	0.4407681874
175	0.440397862
176	0.4400626319
177	0.4395306179
178	0.4391911098
179	0.4389938899
180	0.4387680599
181	0.4384686061
182	0.4381733486
183	0.4379126413
184	0.4375307083
185	0.4372894015
186	0.4369138445
187	0.4367510114
188	0.43639728
189	0.4361642565
190	0.4358392988
191	0.4354496002
192	0.4353877476
193	0.434977041
194	0.434866442
195	0.4346199036
196	0.4344569615
197	0.4343090602
198	0.4342523847
199	0.4340482439
200	0.4338265555
201	0.4336440768
202	0.433511298
203	0.4331689562
204	0.4331165859
205	0.4329729898
206	0.4328998566
207	0.4326053892
208	0.4324572699
209	0.4323392596
210	0.4321743284
211	0.4317881175
212	0.4316459656
213	0.4315192086
214	0.431419754
215	0.4312734059
216	0.4312029157
217	0.4309510367
218	0.4308882032
219	0.4308363778
220	0.4306796483
221	0.4304611751
222	0.4303641728
223	0.4301453182
224	0.4299686704
225	0.429822513
226	0.4296417509
227	0.4295070103
228	0.4294072015
229	0.4292343412
230	0.4290185383
231	0.4288118907
232	0.4287654877
233	0.4285587583
234	0.4284562792
235	0.4283063071
236	0.4282711574
237	0.4281838553
238	0.4280205318
239	0.4278485979
240	0.4277332033
241	0.4276253292
242	0.427419172
243	0.4270978383
244	0.427051299
245	0.4269583021
246	0.4267581667
247	0.4266288212
248	0.4264514378
249	0.4262968336
250	0.4261822292
251	0.4260821206
252	0.4258528573
253	0.4257840293
254	0.4256629399
255	0.4254478182
256	0.425416238
257	0.4253537314
258	0.4253298351
259	0.425160844
260	0.4250519344
261	0.4249501365
262	0.4247753688
263	0.424706786
264	0.4245532172
265	0.42432627
266	0.4241089957
267	0.4240216936
268	0.4237598419
269	0.4236627579
270	0.4234383447
271	0.4233078548
272	0.4232697351
273	0.4231107984
274	0.4229420798
275	0.422920445
276	0.4227940696
277	0.4227170399
278	0.4226515089
279	0.4224873134
280	0.4223808561
281	0.4223207474
282	0.4222799029
283	0.4222003937
284	0.4220015935
